wv,flux
0.1999949961900711,2.2178737492083276e+23
0.20200000703334808,2.6250034196621498e+23
0.20401999354362488,2.70412838804548e+23
0.20606020092964172,4.122587054664089e+23
0.20812080800533295,7.941572111708402e+23
0.21020200848579407,8.454666446292021e+23
0.212304025888443,7.755830059777557e+23
0.21442706882953644,1.4231491572139685e+24
0.21657134592533112,9.03834871252237e+23
0.21873705089092255,1.685583159261325e+24
0.22092442214488983,1.2409120127480716e+24
0.22313366830348969,1.4727127131800925e+24
0.22536501288414001,1.836772555813357e+24
0.22761864960193634,1.1526849287195121e+24
0.22989484667778015,1.8118348843531595e+24
0.23219379782676697,1.285940745501861e+24
0.2345157265663147,2.0710520796915714e+24
0.23686088621616364,1.0267852731636512e+24
0.2392295002937317,1.4330849454254077e+24
0.24162179231643677,1.8110699488141456e+24
0.24403800070285797,2.2755767161496468e+24
0.2464783936738968,3.911058420253105e+24
0.24894316494464874,2.4280366340155926e+24
0.2514325976371765,1.7033753588232884e+24
0.2539469301700592,3.693376384643712e+24
0.2564863860607147,3.6136420084915696e+24
0.25905126333236694,5.51355306209982e+24
0.2616417706012726,3.042125074552466e+24
0.2642582058906555,9.280801790198503e+24
0.26690077781677246,1.5106930769404375e+25
0.2695697844028473,1.6563195131761002e+25
0.2722654938697815,9.569270478987162e+24
0.2749881446361542,6.728380145732007e+24
0.2777380049228668,6.983281864780615e+24
0.2805154025554657,5.990693962466987e+24
0.2833205461502075,1.1908558538006203e+25
0.28615376353263855,1.1910974549570335e+25
0.2890152931213379,6.253410458572561e+25
0.2919054329395294,6.356018285332278e+25
0.2948245108127594,2.497336258202578e+25
0.29777273535728455,2.4893257613425183e+25
0.3007504642009735,5.9891429342680625e+25
0.3037579655647278,4.651751868429966e+25
0.30679556727409363,6.409092149006852e+25
0.30986350774765015,7.400635388087215e+25
0.312962144613266,4.8743809754851165e+25
0.31609177589416504,8.813686922201828e+25
0.31925269961357117,8.129238886993764e+25
0.32244521379470825,7.410673896327317e+25
0.32566967606544495,9.943603227200632e+25
0.32892635464668274,1.0903276051089046e+26
0.33221563696861267,1.0872109838471224e+26
0.33553779125213623,4.1838986651200174e+25
0.33889317512512207,3.807110008227897e+25
0.34228208661079407,4.520391174532353e+25
0.34570491313934326,1.1805202204646932e+26
0.34916195273399353,5.159807068442213e+25
0.3526535928249359,8.49916648842443e+25
0.3561801314353943,1.3315653750927142e+26
0.3597419261932373,4.3779409128441654e+25
0.3633393347263336,4.853203020209151e+25
0.36697274446487427,1.3213564986163169e+26
0.37064245343208313,1.6066992509846024e+26
0.37434887886047363,6.040215778436739e+25
0.37809237837791443,1.2443385162960779e+26
0.38187330961227417,6.1539233886789395e+25
0.3856920301914215,9.048636958008574e+25
0.3895489573478699,1.1225422301464067e+26
0.3934444487094879,6.116879234695094e+25
0.3973788917064667,1.2603119546167688e+26
0.4013526737689972,1.799079202807193e+26
0.4053662121295929,1.612006468903285e+26
0.40941986441612244,1.8569133672859242e+26
0.41351404786109924,2.2044986033105787e+26
0.41764920949935913,3.012641544118676e+26
0.42182570695877075,2.3760405458272166e+26
0.42604395747184753,2.9026797267009664e+26
0.4303043782711029,2.2759375414605912e+26
0.43460744619369507,2.231396238773785e+26
0.4389535188674927,1.8996582550385114e+26
0.44334304332733154,2.422150797284231e+26
0.4477764666080475,2.8339096711353856e+26
0.4522542357444763,2.7229965886127274e+26
0.45677676796913147,2.5715596299272218e+26
0.46134454011917114,3.3917094658138896e+26
